timestamp,open,high,low,close,volume
2024-06-12 13:45:00,168.7950,168.9800,168.7900,168.9400,23790
2024-06-12 13:40:00,168.9700,168.9800,168.7600,168.7800,29985
2024-06-12 13:35:00,169.1400,169.1600,168.9650,168.9850,13080
2024-06-12 13:30:00,169.2300,169.2300,169.0100,169.1400,13265
2024-06-12 13:25:00,169.5300,169.5700,169.2400,169.2550,19103
2024-06-12 13:20:00,169.5200,169.5330,169.4300,169.4900,16740
2024-06-12 13:15:00,169.1750,169.5400,169.1700,169.5100,91837
2024-06-12 13:10:00,169.4100,169.4150,169.1600,169.1600,17809
2024-06-12 13:05:00,169.7000,169.7000,169.3550,169.4200,25979
2024-06-12 13:00:00,169.6800,169.7700,169.6500,169.7150,15837
2024-06-12 12:55:00,169.4300,169.6900,169.4200,169.6900,29878
2024-06-12 12:50:00,169.7000,169.7100,169.4700,169.4900,38469
2024-06-12 12:45:00,169.8200,169.8600,169.7400,169.7400,9557
2024-06-12 12:40:00,169.8900,169.8900,169.7300,169.8050,10134
2024-06-12 12:35:00,169.8000,170.0100,169.7800,169.8900,16909
2024-06-12 12:30:00,169.9200,170.0600,169.6200,169.7450,20760
2024-06-12 12:25:00,169.7700,169.9400,169.6500,169.9050,44418
2024-06-12 12:20:00,169.8000,169.8300,169.7000,169.7700,47730
2024-06-12 12:15:00,169.8520,169.8520,169.7200,169.8200,19825
2024-06-12 12:10:00,169.7700,169.8810,169.7100,169.8400,13077
2024-06-12 12:05:00,169.8700,169.9300,169.7400,169.7500,15571
2024-06-12 12:00:00,169.8000,169.9600,169.7800,169.8600,76801
2024-06-12 11:55:00,169.9600,169.9600,169.7300,169.8500,37530
2024-06-12 11:50:00,169.8800,169.9800,169.8050,169.9600,33598
2024-06-12 11:45:00,169.9400,169.9400,169.8400,169.8900,12043
2024-06-12 11:40:00,169.7800,170.0800,169.7450,169.9500,15505
2024-06-12 11:35:00,169.7750,169.8500,169.6400,169.7500,18790
2024-06-12 11:30:00,169.6200,169.8000,169.5500,169.7900,25165
2024-06-12 11:25:00,169.3410,169.5950,169.2200,169.5950,31869
2024-06-12 11:20:00,169.4800,169.5200,169.3300,169.3650,25299
2024-06-12 11:15:00,169.9200,169.9200,169.4900,169.4900,18969
2024-06-12 11:10:00,169.9400,169.9500,169.8100,169.9000,18064
2024-06-12 11:05:00,170.4000,170.4300,169.9400,169.9600,20211
2024-06-12 11:00:00,170.3850,170.4400,170.2500,170.4100,23484
2024-06-12 10:55:00,170.1550,170.4700,170.1550,170.4100,34656
